pelvis parent=None
spine_01 parent=pelvis
spine_02 parent=spine_01
spine_03 parent=spine_02
spine_04 parent=spine_03
spine_05 parent=spine_04
neck_01 parent=spine_05
neck_02 parent=neck_01
head parent=neck_02
clavicle_l parent=spine_05
upperarm_l parent=clavicle_l
lowerarm_l parent=upperarm_l
lowerarm_twist_02_l parent=lowerarm_l
lowerarm_twist_01_l parent=lowerarm_l
hand_l parent=lowerarm_l
index_metacarpal_l parent=hand_l
index_01_l parent=index_metacarpal_l
index_02_l parent=index_01_l
index_03_l parent=index_02_l
middle_metacarpal_l parent=hand_l
middle_01_l parent=middle_metacarpal_l
middle_02_l parent=middle_01_l
middle_03_l parent=middle_02_l
thumb_01_l parent=hand_l
thumb_02_l parent=thumb_01_l
thumb_03_l parent=thumb_02_l
pinky_metacarpal_l parent=hand_l
pinky_01_l parent=pinky_metacarpal_l
pinky_02_l parent=pinky_01_l
pinky_03_l parent=pinky_02_l
ring_metacarpal_l parent=hand_l
ring_01_l parent=ring_metacarpal_l
ring_02_l parent=ring_01_l
ring_03_l parent=ring_02_l
clavicle_r parent=spine_05
upperarm_r parent=clavicle_r
lowerarm_r parent=upperarm_r
lowerarm_twist_02_r parent=lowerarm_r
lowerarm_twist_01_r parent=lowerarm_r
hand_r parent=lowerarm_r
index_metacarpal_r parent=hand_r
index_01_r parent=index_metacarpal_r
index_02_r parent=index_01_r
index_03_r parent=index_02_r
middle_metacarpal_r parent=hand_r
middle_01_r parent=middle_metacarpal_r
middle_02_r parent=middle_01_r
middle_03_r parent=middle_02_r
thumb_01_r parent=hand_r
thumb_02_r parent=thumb_01_r
thumb_03_r parent=thumb_02_r
pinky_metacarpal_r parent=hand_r
pinky_01_r parent=pinky_metacarpal_r
pinky_02_r parent=pinky_01_r
pinky_03_r parent=pinky_02_r
ring_metacarpal_r parent=hand_r
ring_01_r parent=ring_metacarpal_r
ring_02_r parent=ring_01_r
ring_03_r parent=ring_02_r
thigh_l parent=pelvis
calf_l parent=thigh_l
foot_l parent=calf_l
ball_l parent=foot_l
thigh_r parent=pelvis
calf_r parent=thigh_r
foot_r parent=calf_r
ball_r parent=foot_r
